id,base_name_en,item1_name,item1_qty,item2_name,item2_qty,item3_name,item3_qty,item4_name,item4_qty
48,Barroth Helm,Barroth Ridge,2,Barroth Tail,1,Barroth Claw,2,Kestodon Shell,2
49,Barroth Mail,Barroth Shell,2,Barroth Ridge,1,Barroth Claw,1,Boulder Bone,1
50,Barroth Vambraces,Barroth Ridge,3,Barroth Tail,1,Barroth Scalp,1,Kestodon Scalp,1
51,Barroth Coil,Barroth Shell,2,Barroth Ridge,1,Fertile Mud,2,,
52,Barroth Greaves,Barroth Ridge,2,Barroth Scalp,1,Barroth Shell,1,Fertile Mud,2
53,Jyura Helm,Jyuratodus Scale,2,Jyuratodus Shell,1,Jyuratodus Fin,1,Gajau Skin,3
54,Jyura Mail,Jyuratodus Shell,2,Jyuratodus Fin,1,Jyuratodus Fang,1,Aqua Sac,1
55,Jyura Vambraces,Jyuratodus Shell,2,Jyuratodus Fang,1,Gajau Whisker,2,,
56,Jyura Coil,Jyuratodus Scale,2,Jyuratodus Shell,1,Aqua Sac,1,,
57,Jyura Greaves,Jyuratodus Shell,3,Jyuratodus Fang,2,Jyuratodus Fin,2,Earth Crystal,3
58,Kadachi Helm,Tobi-Kadachi Pelt,2,Tobi-Kadachi Electrode,2,Tobi-Kadachi Claw,1,Electro Sac,1
59,Kadachi Mail,Tobi-Kadachi Pelt,2,Tobi-Kadachi Electrode,1,Tobi-Kadachi Membrane,2,Wingdrake Hide,2
60,Kadachi Vambraces,Tobi-Kadachi Pelt,2,Tobi-Kadachi Claw,1,Tobi-Kadachi Scale,2,Monster Bone M,2
61,Kadachi Coil,Tobi-Kadachi Scale,2,Tobi-Kadachi Pelt,1,Electro Sac,1,,
62,Kadachi Greaves,Tobi-Kadachi Scale,2,Tobi-Kadachi Pelt,1,Warm Pelt,1,,
63,High Metal Helm,Dragonite Ore,2,Machalite Ore,1,Iron Ore,6,,
64,High Metal Mail,Dragonite Ore,2,Machalite Ore,2,Earth Crystal,2,Sharp Claw,2
65,High Metal Braces,Dragonite Ore,2,Machalite Ore,2,Earth Crystal,2,Sharp Claw,2
66,High Metal Coil,Dragonite Ore,2,Machalite Ore,1,Iron Ore,6,,
67,High Metal Greaves,Dragonite Ore,2,Machalite Ore,1,Iron Ore,6,,
68,King Beetle Vertex,Great Hornfly,1,Dragonite Ore,2,Coral Crystal,2,Flame Sac,1
69,King Beetle Thorax,Great Hornfly,1,Earth Crystal,2,Coral Crystal,2,Poison Sac,1
70,King Beetle Brachia,Great Hornfly,1,Earth Crystal,2,Coral Crystal,2,Aqua Sac,1
71,King Beetle Elytra,Great Hornfly,1,Earth Crystal,2,Monster Fluid,1,Electro Sac,1
72,King Beetle Crura,Great Hornfly,1,Dragonite Ore,2,Monster Fluid,3,Paralysis Sac,1
73,Shamos Goggles,Shamos Hide,2,Shamos Scale,3,Coral Bone,1,Coral Crystal,1
74,Hornetaur Helm,Hornetaur Head,1,Hornetaur Shell,1,Machalite Ore,1,Monster Fluid,1
75,Hornetaur Mail,Hornetaur Wing,2,Hornetaur Shell,2,Dragonite Ore,2,Machalite Ore,2
76,Hornetaur Vambraces,Hornetaur Wing,1,Hornetaur Shell,1,Iron Ore,3,Machalite Ore,1
77,Hornetaur Coil,Hornetaur Wing,1,Hornetaur Shell,1,Iron Ore,3,Machalite Ore,1
78,Hornetaur Greaves,Hornetaur Wing,2,Hornetaur Shell,2,Dragonite Ore,3,Monster Fluid,2
79,Anja Helm,Anjanath Pelt,3,Anjanath Scale,3,Anjanath Tail,1,Flame Sac,1
80,Anja Mail,Anjanath Pelt,3,Anjanath Fang,2,Anjanath Nosebone,1,Anjanath Plate,1
81,Anja Vambraces,Anjanath Pelt,2,Anjanath Scale,2,Anjanath Nosebone,1,Monster Bone L,2
82,Anja Coil,Anjanath Scale,2,Anjanath Pelt,1,Anjanath Fang,2,Machalite Ore,2
83,Anja Greaves,Anjanath Scale,2,Anjanath Pelt,1,Flame Sac,1,Machalite Ore,2
84,Rathian Helm,Rathian Shell,2,Rathian Scale,3,Rathian Webbing,2,Flame Sac,1
85,Rathian Mail,Rathian Scale,2,Rathian Shell,1,Rathian Webbing,1,Ancient Bone,2
86,Rathian Vambraces,Rathian Shell,2,Rathian Scale,2,Rathian Spike,1,Monster Bone L,2
87,Rathian Coil,Rathian Scale,2,Rathian Shell,1,Rath Wingtalon,2,Boulder Bone,2
88,Rathian Greaves,Rathian Shell,3,Rathian Spike,1,Rath Wingtalon,2,Rathian Plate,1
89,Tzitzi Headgear,Tzitzi-Ya-Ku Scale,2,Tzitzi-Ya-Ku Hide,1,Tzitzi-Ya-Ku Photophore,1,Coral Crystal,1
90,Tzitzi Mail,Tzitzi-Ya-Ku Hide,3,Tzitzi-Ya-Ku Claw,2,Tzitzi-Ya-Ku Photophore,2,Lightcrystal,1
91,Tzitzi Vambraces,Tzitzi-Ya-Ku Hide,2,Tzitzi-Ya-Ku Photophore,1,Tzitzi-Ya-Ku Scale,3,Coral Crystal,2
92,Tzitzi Coil,Tzitzi-Ya-Ku Hide,2,Tzitzi-Ya-Ku Claw,2,Coral Crystal,2,,
93,Tzitzi Greaves,Tzitzi-Ya-Ku Scale,2,Tzitzi-Ya-Ku Hide,1,Tzitzi-Ya-Ku Claw,1,,
94,Lumu Hat,Paolumu Scale,2,Paolumu Webbing,2,Paolumu Shell,2,Lightcrystal,1
95,Lumu Mail,Paolumu Scale,2,Paolumu Shell,1,Paolumu Pelt,2,Coral Bone,1
96,Lumu Vambraces,Paolumu Pelt,2,Paolumu Scale,1,Paolumu Webbing,1,,
97,Lumu Coil,Paolumu Pelt,2,Paolumu Scale,1,Paolumu Shell,1,,
98,Lumu Greaves,Paolumu Scale,2,Paolumu Pelt,2,Paolumu Webbing,1,Coral Bone,1
99,Girros Mask,Great Girros Scale,2,Great Girros Hide,1,Great Girros Hood,1,Girros Scale,3
100,Girros Mail,Great Girros Hide,2,Great Girros Tail,1,Great Girros Fang,2,Paralysis Sac,2
101,Girros Vambraces,Great Girros Scale,2,Great Girros Hide,1,Girros Fang,2,,
102,Girros Coil,Great Girros Hide,2,Great Girros Tail,1,Great Girros Hood,1,Girros Hide,3
103,Girros Greaves,Great Girros Hide,2,Great Girros Fang,2,Great Girros Scale,2,Monster Bone M,4
104,Baan Helm,Radobaan Shell,3,Radobaan Oilshell,2,Wyvern Bonemass,2,Radobaan Marrow,1
105,Baan Mail,Radobaan Scale,2,Radobaan Shell,1,Radobaan Oilshell,1,Sleep Sac,1
106,Baan Vambraces,Radobaan Scale,2,Radobaan Shell,1,Radobaan Oilshell,1,Sturdy Bone,3
107,Baan Coil,Radobaan Scale,2,Radobaan Oilshell,1,Sleep Sac,1,Monster Bone L,3
108,Baan Greaves,Radobaan Shell,2,Radobaan Scale,2,Wyvern Bonemass,2,Warped Bone,2
109,Ingot Helm,Dragonite Ore,2,Monster Bone+,1,Iron Ore,8,Machalite Ore,3
110,Ingot Mail,Dragonite Ore,2,Monster Bone+,1,Iron Ore,8,Machalite Ore,3
111,Ingot Vambraces,Dragonite Ore,3,Monster Bone+,1,Coral Crystal,3,Lightcrystal,1
112,Ingot Coil,Dragonite Ore,3,Monster Bone+,1,Coral Crystal,3,Lightcrystal,1
113,Ingot Greaves,Dragonite Ore,2,Monster Bone+,1,Earth Crystal,3,Machalite Ore,3
114,Death Stench Brain,Sinister Cloth,1,Warped Bone,1,Monster Bone+,2,Sharp Claw,3
115,Death Stench Muscle,Sinister Cloth,1,Coral Bone,2,Sturdy Bone,2,Monster Fluid,2
116,Death Stench Grip,Sinister Cloth,1,Warped Bone,3,Sturdy Bone,6,Lightcrystal,1
117,Death Stench Bowels,Sinister Cloth,1,Warped Bone,1,Sturdy Bone,2,Monster Fluid,2
118,Death Stench Heel,Sinister Cloth,1,Coral Bone,3,Monster Bone+,4,Lightcrystal,1
119,Brigade Lobos,Pinnacle Coin,2,Pukei Coin,2,Kulu Coin,2,Commendation,1
120,Brigade Suit,Pinnacle Coin,3,Pukei Coin,2,Rathian Coin,4,Lightcrystal,1
121,Brigade Vambraces,Pinnacle Coin,2,Pukei Coin,2,Kulu Coin,2,Commendation,1
122,Brigade Coil,Pinnacle Coin,2,Pukei Coin,2,Kulu Coin,2,Commendation,1
123,Brigade Boots,Pinnacle Coin,3,Kulu Coin,2,Rathian Coin,4,Lightcrystal,1
124,Legiana Helm,Legiana Scale,2,Legiana Hide,1,Legiana Claw,1,Shamos Scale,2
125,Legiana Mail,Legiana Hide,3,Legiana Claw,2,Legiana Webbing,2,Legiana Plate,1
126,Legiana Vambraces,Legiana Hide,2,Legiana Scale,2,Legiana Tail Webbing,1,Frost Sac,1
127,Legiana Coil,Legiana Hide,2,Legiana Scale,2,Frost Sac,1,Shamos Hide,2
128,Legiana Greaves,Legiana Scale,2,Legiana Hide,1,Legiana Claw,1,Dragonite Ore,2
129,Odogaron Helm,Odogaron Scale,2,Odogaron Sinew,1,Odogaron Claw,1,Warped Bone,1
130,Odogaron Mail,Odogaron Sinew,2,Odogaron Scale,2,Odogaron Fang,1,Hornetaur Shell,3
131,Odogaron Vambraces,Odogaron Sinew,2,Odogaron Scale,2,Odogaron Tail,1,Hornetaur Wing,2
132,Odogaron Coil,Odogaron Sinew,3,Odogaron Claw,2,Odogaron Fang,2,Odogaron Plate,1
133,Odogaron Greaves,Odogaron Scale,2,Odogaron Sinew,1,Odogaron Claw,1,Dragonite Ore,2
134,Rathalos Helm,Rathalos Scale,2,Rathalos Shell,2,Rath Wingtalon,2,Rathalos Marrow,1
135,Rathalos Mail,Rathalos Scale,2,Rathalos Shell,4,Rathalos Webbing,2,Rathalos Plate,1
136,Rathalos Vambraces,Rathalos Shell,2,Rathalos Webbing,1,Flame Sac,2,Monster Bone+,2
137,Rathalos Coil,Rathalos Scale,2,Rathalos Shell,2,Rathalos Webbing,1,Monster Bone+,3
138,Rathalos Greaves,Rathalos Shell,3,Rathalos Scale,2,Rath Wingtalon,2,Rathalos Tail,1
139,Diablos Helm,Diablos Ridge,3,Diablos Fang,2,Twisted Horn,1,Diablos Marrow,1
140,Diablos Mail,Diablos Shell,2,Diablos Ridge,1,Twisted Horn,2,Monster Bone+,3
141,Diablos Vambraces,Diablos Ridge,2,Diablos Shell,2,Diablos Tailcase,1,Lightcrystal,1
142,Diablos Coil,Diablos Shell,2,Diablos Ridge,1,Diablos Fang,1,Monster Bone L,2
143,Diablos Greaves,Diablos Ridge,2,Diablos Shell,2,Twisted Horn,1,Monster Bone+,3
144,Kirin Horn,Kirin Hide,2,Kirin Tail,2,Kirin Thunderhorn,3,Lightcrystal,1
145,Kirin Jacket,Kirin Hide,2,Kirin Mane,2,Coral Crystal,4,Coral Bone,2
146,Kirin Longarms,Kirin Hide,3,Kirin Mane,2,Paolumu Shell,2,Lightcrystal,1
147,Kirin Hoop,Kirin Hide,2,Kirin Thunderhorn,1,Kirin Tail,1,Electro Sac,1
148,Kirin Leg Guards,Kirin Hide,2,Kirin Thunderhorn,1,Paolumu Shell,2,,
149,Blossom Headgear,Spring Blossom Ticket,1,Earth Crystal,1,,,,
150,Blossom Vest,Spring Blossom Ticket,1,Earth Crystal,3,,,,
151,Blossom Cuffs,Spring Blossom Ticket,1,Earth Crystal,1,,,,
152,Blossom Coat,Spring Blossom Ticket,1,Earth Crystal,1,,,,
153,Blossom Boots,Spring Blossom Ticket,1,Earth Crystal,2,,,,
154,Diver's Mask,Summer Twilight Ticket,1,Coral Crystal,1,,,,
155,Diver's Suit,Summer Twilight Ticket,1,Coral Crystal,1,,,,
156,Diver's Braces,Summer Twilight Ticket,1,Coral Crystal,1,,,,
157,Diver's Belt,Summer Twilight Ticket,1,Coral Crystal,1,,,,
158,Diver's Boots,Summer Twilight Ticket,1,Coral Crystal,1,,,,
159,Harvest Flor,Autumn Harvest Ticket,1,Sturdy Bone,1,,,,
160,Harvest Tronco,Autumn Harvest Ticket,1,Sturdy Bone,1,,,,
161,Harvest Trama,Autumn Harvest Ticket,1,Sturdy Bone,1,,,,
162,Harvest Hoja,Autumn Harvest Ticket,1,Sturdy Bone,1,,,,
163,Harvest Raiz,Autumn Harvest Ticket,1,Sturdy Bone,1,,,,
164,Orion Cap,Winter Star Ticket,1,Monster Bone+,1,,,,
165,Orion Vest,Winter Star Ticket,1,Monster Bone+,2,,,,
166,Orion Vambraces,Winter Star Ticket,1,Monster Bone+,1,,,,
167,Orion Coat,Winter Star Ticket,1,Monster Bone+,1,,,,
168,Orion Boots,Winter Star Ticket,1,Monster Bone+,2,,,,
169,Gala Suit Top Hat,Appreciation Ticket,1,Monster Bone+,3,,,,
170,Gala Suit Jacket,Appreciation Ticket,1,Monster Bone+,2,,,,
171,Gala Suit Cuffs,Appreciation Ticket,1,Monster Bone+,1,,,,
172,Gala Suit Tail,Appreciation Ticket,1,Monster Bone+,1,,,,
173,Gala Suit Slacks,Appreciation Ticket,1,Monster Bone+,1,,,,
174,Butterfly Vertex,Spring Insect Field Guide,1,Great Hornfly,1,Vespoid Shell,1,Monster Fluid,1
175,Butterfly Thorax,Spring Insect Field Guide,1,Great Hornfly,1,Vespoid Wing,1,Monster Fluid,1
176,Butterfly Brachia,Spring Insect Field Guide,1,Great Hornfly,1,Vespoid Shell,1,Monster Fluid,1
177,Butterfly Elytra,Spring Insect Field Guide,1,Great Hornfly,1,Vespoid Wing,1,Monster Fluid,1
178,Butterfly Crura,Spring Insect Field Guide,1,Great Hornfly,1,Vespoid Shell,1,Monster Fluid,1
179,Leather Headgear α,Carbalite Ore,3,High-quality Pelt,1,,,,
180,Leather Mail α,Carbalite Ore,2,High-quality Pelt,1,,,,
181,Leather Gloves α,Carbalite Ore,2,High-quality Pelt,1,,,,
182,Leather Belt α,Carbalite Ore,2,High-quality Pelt,1,,,,
183,Leather Trousers α,Carbalite Ore,2,High-quality Pelt,1,,,,
184,Leather Headgear β,Carbalite Ore,3,High-quality Pelt,1,,,,
185,Leather Mail β,Carbalite Ore,2,High-quality Pelt,1,,,,
186,Leather Gloves β,Carbalite Ore,2,High-quality Pelt,1,,,,
187,Leather Belt β,Carbalite Ore,2,High-quality Pelt,1,,,,
188,Leather Trousers β,Carbalite Ore,2,High-quality Pelt,1,,,,
189,Chainmail Headgear α,Carbalite Ore,3,Dragonite Ore,2,,,,
190,Chainmail Armor α,Carbalite Ore,2,Dragonite Ore,2,,,,
191,Chainmail Gloves α,Carbalite Ore,2,Dragonite Ore,2,,,,
192,Chainmail Belt α,Carbalite Ore,2,Dragonite Ore,2,,,,
193,Chainmail Trousers α,Carbalite Ore,2,Dragonite Ore,2,,,,
194,Chainmail Headgear β,Carbalite Ore,3,Dragonite Ore,2,,,,
195,Chainmail Armor β,Carbalite Ore,2,Dragonite Ore,2,,,,
196,Chainmail Gloves β,Carbalite Ore,2,Dragonite Ore,2,,,,
197,Chainmail Belt β,Carbalite Ore,2,Dragonite Ore,2,,,,
198,Chainmail Trousers β,Carbalite Ore,2,Dragonite Ore,2,,,,
199,Hunter's Headgear α,Jagras Hide+,3,Jagras Scale+,4,,,,
200,Hunter's Mail α,Jagras Hide+,3,Quality Bone,4,,,,
201,Hunter's Vambraces α,Jagras Hide+,2,Jagras Scale+,4,,,,
202,Hunter's Coil α,Jagras Hide+,2,Quality Bone,3,,,,
203,Hunter's Greaves α,Jagras Hide+,2,Quality Bone,3,,,,
204,Hunter's Headgear β,Jagras Hide+,3,Jagras Scale+,4,,,,
205,Hunter's Mail β,Jagras Hide+,3,Quality Bone,4,,,,
206,Hunter's Vambraces β,Jagras Hide+,2,Jagras Scale+,4,,,,
207,Hunter's Coil β,Jagras Hide+,2,Quality Bone,3,,,,
208,Hunter's Greaves β,Jagras Hide+,2,Quality Bone,3,,,,
209,Bone Helm α,Quality Bone,3,Monster Bone+,2,Warped Bone,2,,
210,Bone Mail α,Quality Bone,2,Monster Bone+,2,Monster Bone L,3,,
211,Bone Vambraces α,Quality Bone,3,Monster Bone+,2,Coral Bone,2,,
212,Bone Coil α,Quality Bone,2,Monster Bone+,2,Ancient Bone,3,,
213,Bone Greaves α,Quality Bone,2,Monster Bone+,2,Boulder Bone,3,,
214,Bone Helm β,Quality Bone,3,Monster Bone+,2,Warped Bone,2,,
215,Bone Mail β,Quality Bone,2,Monster Bone+,2,Monster Bone L,3,,
216,Bone Vambraces β,Quality Bone,3,Monster Bone+,2,Coral Bone,2,,
217,Bone Coil β,Quality Bone,2,Monster Bone+,2,Ancient Bone,3,,
218,Bone Greaves β,Quality Bone,2,Monster Bone+,2,Boulder Bone,3,,
219,Alloy Helm α,Carbalite Ore,3,Dragonite Ore,6,Dragonvein Crystal,3,Machalite Ore,5
220,Alloy Mail α,Carbalite Ore,2,Dragonite Ore,4,Coral Crystal,4,Machalite Ore,5
221,Alloy Vambraces α,Carbalite Ore,2,Dragonite Ore,4,Earth Crystal,4,Machalite Ore,5
222,Alloy Coil α,Carbalite Ore,3,Dragonite Ore,6,Dragonvein Crystal,3,Machalite Ore,5
223,Alloy Greaves α,Carbalite Ore,2,Dragonite Ore,4,Lightcrystal,1,Machalite Ore,5
224,Alloy Helm β,Carbalite Ore,3,Dragonite Ore,6,Dragonvein Crystal,3,Machalite Ore,5
225,Alloy Mail β,Carbalite Ore,2,Dragonite Ore,4,Coral Crystal,4,Machalite Ore,5
226,Alloy Vambraces β,Carbalite Ore,2,Dragonite Ore,4,Earth Crystal,4,Machalite Ore,5
227,Alloy Coil β,Carbalite Ore,3,Dragonite Ore,6,Dragonvein Crystal,3,Machalite Ore,5
228,Alloy Greaves β,Carbalite Ore,2,Dragonite Ore,4,Lightcrystal,1,Machalite Ore,5
229,King Beetle Vertex α,Great Hornfly,1,Carbalite Ore,2,Monster Broth,2,Inferno Sac,3
230,King Beetle Thorax α,Great Hornfly,1,Dragonvein Crystal,2,Hornetaur Carapace,3,Toxin Sac,2
231,King Beetle Brachia α,Great Hornfly,1,Dragonvein Crystal,2,Monster Broth,2,Torrent Sac,2
232,King Beetle Elytra α,Great Hornfly,1,Dragonvein Crystal,2,Vespoid Carapace,3,Thunder Sac,2
233,King Beetle Crura α,Great Hornfly,1,Carbalite Ore,2,Monster Broth,2,Omniplegia Sac,2
234,King Beetle Vertex β,Great Hornfly,1,Carbalite Ore,2,Monster Broth,2,Inferno Sac,3
235,King Beetle Thorax β,Great Hornfly,1,Dragonvein Crystal,2,Hornetaur Carapace,3,Toxin Sac,2
236,King Beetle Brachia β,Great Hornfly,1,Dragonvein Crystal,2,Monster Broth,2,Torrent Sac,2
237,King Beetle Elytra β,Great Hornfly,1,Dragonvein Crystal,2,Vespoid Carapace,3,Thunder Sac,2
238,King Beetle Crura β,Great Hornfly,1,Carbalite Ore,2,Monster Broth,2,Omniplegia Sac,2
239,Vespoid Helm α,Vespoid Carapace,3,Vespoid Innerwing,2,Monster Keenbone,2,,
240,Vespoid Mail α,Vespoid Carapace,3,Vespoid Innerwing,2,Monster Keenbone,2,,
241,Vespoid Vambraces α,Vespoid Carapace,4,Vespoid Innerwing,2,Monster Broth,3,Omniplegia Sac,2
242,Vespoid Coil α,Vespoid Carapace,3,Vespoid Innerwing,2,Monster Keenbone,2,,
243,Vespoid Greaves α,Vespoid Carapace,4,Vespoid Innerwing,2,Monster Broth,3,Omniplegia Sac,2
244,Vespoid Helm β,Vespoid Carapace,3,Vespoid Innerwing,2,Monster Keenbone,2,,
245,Vespoid Mail β,Vespoid Carapace,3,Vespoid Innerwing,2,Monster Keenbone,2,,
246,Vespoid Vambraces β,Vespoid Carapace,4,Vespoid Innerwing,2,Monster Broth,3,Omniplegia Sac,2
247,Vespoid Coil β,Vespoid Carapace,3,Vespoid Innerwing,2,Monster Keenbone,2,,
248,Vespoid Greaves β,Vespoid Carapace,4,Vespoid Innerwing,2,Monster Broth,3,Omniplegia Sac,2
249,Hornetaur Helm α,Hornetaur Carapace,3,Hornetaur Innerwing,2,Monster Broth,2,,
250,Hornetaur Mail α,Hornetaur Carapace,4,Hornetaur Innerwing,2,Hornetaur Head,1,Lightcrystal,1
251,Hornetaur Vambraces α,Hornetaur Carapace,3,Hornetaur Innerwing,2,Monster Broth,2,,
252,Hornetaur Coil α,Hornetaur Carapace,3,Hornetaur Innerwing,2,Monster Broth,2,,
253,Hornetaur Greaves α,Hornetaur Carapace,4,Hornetaur Innerwing,2,Hornetaur Head,1,Novacrystal,1
254,Hornetaur Helm β,Hornetaur Carapace,3,Hornetaur Innerwing,2,Monster Broth,2,,
255,Hornetaur Mail β,Hornetaur Carapace,4,Hornetaur Innerwing,2,Hornetaur Head,1,Lightcrystal,1
256,Hornetaur Vambraces β,Hornetaur Carapace,3,Hornetaur Innerwing,2,Monster Broth,2,,
257,Hornetaur Coil β,Hornetaur Carapace,3,Hornetaur Innerwing,2,Monster Broth,2,,
258,Hornetaur Greaves β,Hornetaur Carapace,4,Hornetaur Innerwing,2,Hornetaur Head,1,Novacrystal,1
259,Mosswine Mask α,Mosswine Hide,3,Anjanath Nosebone+,1,Great Girros Hide+,3,Novacrystal,1
260,Kestodon Guards α,Kestodon Carapace,6,Kestodon Scalp,3,Quality Bone,3,,
261,Kestodon Guards β,Kestodon Carapace,6,Kestodon Scalp,3,Quality Bone,3,,
262,Gajau Boots α,Gajau Scale,4,Grand Gajau Whisker,2,Carbalite Ore,3,,
263,Gajau Boots β,Gajau Scale,4,Grand Gajau Whisker,2,Carbalite Ore,3,,
264,Shamos Goggles α,Shamos Hide+,3,Shamos Scale+,4,Dragonvein Crystal,3,,
265,Shamos Goggles β,Shamos Hide+,3,Shamos Scale+,4,Dragonvein Crystal,3,,
266,Jagras Helm α,Great Jagras Hide+,4,Great Jagras Mane,2,Great Jagras Claw+,4,Piercing Claw,2
267,Jagras Mail α,Great Jagras Hide+,2,Great Jagras Claw+,4,Great Jagras Scale+,4,Jagras Hide+,2
268,Jagras Vambraces α,Great Jagras Scale+,4,Great Jagras Hide+,2,Monster Bone+,3,Jagras Hide+,1
269,Jagras Coil α,Great Jagras Hide+,3,Great Jagras Mane,3,Great Jagras Scale+,4,Jagras Scale+,3
270,Jagras Greaves α,Great Jagras Scale+,4,Great Jagras Hide+,2,Great Jagras Mane,2,Jagras Scale+,1
271,Jagras Helm β,Great Jagras Hide+,4,Great Jagras Mane,2,Great Jagras Claw+,4,Piercing Claw,2
272,Jagras Mail β,Great Jagras Hide+,2,Great Jagras Claw+,4,Great Jagras Scale+,4,Jagras Hide+,2
273,Jagras Vambraces β,Great Jagras Scale+,4,Great Jagras Hide+,2,Monster Bone+,3,Jagras Hide+,1
274,Jagras Coil β,Great Jagras Hide+,3,Great Jagras Mane,3,Great Jagras Scale+,4,Jagras Scale+,3
275,Jagras Greaves β,Great Jagras Scale+,4,Great Jagras Hide+,2,Great Jagras Mane,2,Jagras Scale+,1
276,Kulu Headpiece α,Kulu-Ya-Ku Scale+,4,Kulu-Ya-Ku Hide+,2,Kulu-Ya-Ku Plume+,2,,
277,Kulu Mail α,Kulu-Ya-Ku Hide+,4,Kulu-Ya-Ku Plume+,3,Kulu-Ya-Ku Beak+,2,Bird Wyvern Gem,1
278,Kulu Vambraces α,Kulu-Ya-Ku Scale+,4,Kulu-Ya-Ku Hide+,2,Carbalite Ore,3,,
279,Kulu Coil α,Kulu-Ya-Ku Hide+,4,Kulu-Ya-Ku Beak+,2,Wingdrake Hide+,3,Earth Crystal,2
280,Kulu Greaves α,Kulu-Ya-Ku Hide+,4,Kulu-Ya-Ku Scale+,6,Wingdrake Hide+,2,Earth Crystal,2
281,Kulu Headpiece β,Kulu-Ya-Ku Scale+,4,Kulu-Ya-Ku Hide+,2,Kulu-Ya-Ku Plume+,2,,
