id,base_name_en,weapon_type,type,item1_name,item1_qty,item2_name,item2_qty,item3_name,item3_qty,item4_name,item4_qty
20,Purgation's Atrocity,great-sword,Upgrade,Xeno'jiiva Horn,2,Nergigante Horn+,5,Nergigante Talon,5,Nergigante Gem,1
21,Ruinous Atrocity,great-sword,Upgrade,Annihilating Greathorn,3,Nergigante Hardclaw,4,Eternal Regrowth Plate,5,Large Elder Dragon Gem,1
22,Thunder Blade I,great-sword,Upgrade,Dragonite Ore,5,Tobi-Kadachi Electrode,1,Tobi-Kadachi Claw,2,Electro Sac,1
23,Thunder Blade II,great-sword,Upgrade,Monster Bone+,2,Tobi-Kadachi Electrode,2,Tobi-Kadachi Membrane,2,Coral Crystal,3
24,Lightning Punisher I,great-sword,Upgrade,Carbalite Ore,5,Tobi-Kadachi Scale+,4,Tobi-Kadachi Pelt+,3,Vespoid Innerwing,3
25,Lightning Punisher II,great-sword,Upgrade,Fucium Ore,5,Tobi-Kadachi Electrode+,2,Tobi-Kadachi Membrane,4,Thunder Sac,3
26,Lightning Punisher III,great-sword,Upgrade,Elder Dragon Blood,3,Tobi-Kadachi Electrode+,4,Tobi-Kadachi Claw+,6,Wyvern Gem,1
27,Lightning Punisher IV,great-sword,Upgrade,Tobi-Kadachi Hardclaw,1,Tobi-Kadachi Shard,2,Tobi-Kadachi Thickfur,2,Lightning Sac,1
28,Severing Bolt I,great-sword,Upgrade,Zinogre Hardclaw,3,Zinogre Deathly Shocker,2,Zinogre Cortex,5,Lightning Sac,3
29,Severing Bolt II,great-sword,Upgrade,Zinogre Hardhorn,3,Zinogre Electrofur+,4,Fulgurbug,5,Zinogre Skymerald,1
30,Freeze Blade I,great-sword,Upgrade,Legiana Claw,3,Legiana Scale,4,Frost Sac,2,Coral Crystal,3
31,Freeze Blade II,great-sword,Upgrade,Carbalite Ore,5,Legiana Tail Webbing,2,Legiana Webbing,3,Shamos Scale+,5
32,Frost Blaze I,great-sword,Upgrade,Fucium Ore,5,Legiana Scale+,5,Legiana Wing,3,Freezer Sac,3
33,Frost Blaze II,great-sword,Upgrade,Elder Dragon Blood,3,Legiana Claw+,5,Legiana Hide+,3,Wyvern Gem,1
34,Frost Blaze III,great-sword,Upgrade,Gracium,2,Eltalite Ore,4,Cryo Sac,1,Wulg Thickfur,3
35,Icicle Fang,great-sword,Upgrade,Barioth Hardclaw,3,Barioth Cortex,4,Cryo Sac,4,Frozen Bone,3
36,Icicle Fang+,great-sword,Upgrade,Obsidian Icetalon,2,Amber Hardfang,3,Barioth Greatspike,3,Large Wyvern Gem,1
37,Paladire,great-sword,Upgrade,Velkhana Hardclaw,2,Barioth Hardclaw,4,Amber Hardfang,2,Large Elder Dragon Bone,5
38,Glacial Demon,great-sword,Create,Frostfang Ticket,3,Silverwhite Frostfang,3,Bergcrusher Claw,2,Large Wyvern Gem,1
39,Glacial Demon,great-sword,Upgrade,Frostfang Ticket,2,Silverwhite Frostfang,3,Bergcrusher Claw,1,Gracium,5
40,Jagras Blade I,great-sword,Upgrade,Great Jagras Claw,1,Great Jagras Hide,1,Great Jagras Scale,3,Sharp Claw,1
41,Jagras Blade II,great-sword,Upgrade,Great Jagras Claw,2,Great Jagras Mane,2,Coral Bone,2,Tzitzi-Ya-Ku Claw,3
42,Jagras Blade III,great-sword,Upgrade,Monster Bone+,3,Great Jagras Scale,5,Great Jagras Claw,3,Great Jagras Mane,3
43,Jagras Hacker I,great-sword,Upgrade,Great Jagras Scale+,6,Great Jagras Claw+,4,Great Jagras Mane,6,Piercing Claw,5
44,Jagras Hacker II,great-sword,Upgrade,Monster Hardbone,4,Great Jagras Claw+,6,Jagras Hide+,6,Tzitzi-Ya-Ku Claw+,5
45,Jagras Hacker III,great-sword,Upgrade,Vaal Hazak Talon,2,Great Jagras Claw+,8,Great Jagras Hide+,6,Novacrystal,1
46,Jagras Deathclaw I,great-sword,Create,Great Jagras Shard,4,Great Jagras Hardclaw,2,Great Jagras Mane+,3,Fey Wyvern Gem,1
47,Jagras Deathclaw I,great-sword,Upgrade,Great Jagras Shard,2,Great Jagras Hardclaw,1,Great Jagras Mane+,2,Jagras Shard,2
48,Jagras Deathclaw II,great-sword,Upgrade,Monster Slogbone,3,Great Jagras Hardclaw,3,Great Jagras Thickhide,3,Tough Claw,3
49,Mammoth Greataxe I,great-sword,Upgrade,Banbaro Great Horn,1,Banbaro Cortex,2,Banbaro Chine,2,Monster Toughbone,3
50,Mammoth Greataxe II,great-sword,Upgrade,Monster Solidbone,3,Banbaro Great Horn,3,Banbaro Lash,2,Dragonbone Artifact,1
51,Girros Blade I,great-sword,Upgrade,Great Girros Fang,1,Great Girros Scale,3,Girros Fang,3,,
52,Girros Blade II,great-sword,Upgrade,Diablos Fang,2,Great Girros Fang,3,Great Girros Hood,2,Paralysis Sac,2
53,Malady's Kiss I,great-sword,Create,Carbalite Ore,6,Great Girros Fang+,5,Omniplegia Sac,6,Great Girros Hood+,3
54,Malady's Kiss I,great-sword,Upgrade,Great Girros Fang+,3,Great Girros Scale+,5,Great Girros Tail,2,Girros Scale+,6
55,Malady's Kiss II,great-sword,Upgrade,Blos Medulla,1,Great Girros Fang+,4,Great Girros Hood+,2,Omniplegia Sac,4
56,Malady's Kiss III,great-sword,Upgrade,Vaal Hazak Fang+,2,Great Girros Fang+,5,Great Girros Hood+,3,Bird Wyvern Gem,1
57,Naaga Guillotine I,great-sword,Upgrade,Great Girros Hardfang,2,Great Girros Lash,1,Ultraplegia Sac,2,Tough Claw,2
58,Naaga Guillotine II,great-sword,Upgrade,Odogaron Hardfang,2,Great Girros Shard,4,Great Girros Hardhood,2,Fey Wyvern Gem,1
59,Hidden Blade I,great-sword,Upgrade,Nargacuga Hardfang,2,Nargacuga Shard,3,Nargacuga Tailspear,2,Meldspar Ore,1
60,Hidden Blade II,great-sword,Upgrade,Fulgur Anjanath Hardfang,2,Nargacuga Cutwing+,3,Nargacuga Lash,2,Nargacuga Mantle,1
61,Lava Blaze I,great-sword,Upgrade,Lavasioth Fin+,2,Lavasioth Fang+,2,Lavasioth Scale+,4,,
62,Lava Blaze II,great-sword,Upgrade,Teostra Mane,2,Lavasioth Fin+,3,Lavasioth Fang+,3,Wyvern Gem,1
63,Pyre Cleaver I,great-sword,Upgrade,Lavasioth Grandfin,1,Lavasioth Hardfang,2,Lavasioth Shard,3,Barnos Hardclaw,2
64,Pyre Cleaver II,great-sword,Upgrade,Azure Rathalos Cortex,2,Lavasioth Grandfin,2,Lavasioth Hardfang,2,Monster Solidbone,3
65,Glavenus Blaze I,great-sword,Upgrade,Glavenus Hardfang,2,Glavenus Shard,4,Molten Bursa,2,Eltalite Ore,6
66,Glavenus Blaze II,great-sword,Upgrade,Ebony Odogaron Hardfang,2,Glavenus Hellshell,3,Glavenus Tailedge,2,Glavenus Mantle,1
67,Blooming Blade I,great-sword,Upgrade,Pukei-Pukei Quill,2,Pukei-Pukei Scale,3,Poison Sac,1,,
68,Blooming Blade II,great-sword,Upgrade,Coral Crystal,3,Pukei-Pukei Sac,2,Pukei-Pukei Shell,3,Pukei-Pukei Tail,1
69,Blooming Blade III,great-sword,Upgrade,Monster Bone+,2,Pukei-Pukei Quill,4,Pukei-Pukei Sac,2,Poison Sac,2
70,Datura Blaze I,great-sword,Upgrade,Pukei-Pukei Scale+,3,Pukei-Pukei Wing,2,Toxin Sac,2,Quality Bone,3
71,Datura Blaze II,great-sword,Upgrade,Monster Hardbone,3,Pukei-Pukei Wing,3,Pukei-Pukei Carapace,5,Toxin Sac,2
72,Datura Blaze III,great-sword,Upgrade,Vaal Hazak Wing,2,Pukei-Pukei Sac+,4,Pukei-Pukei Wing,6,Bird Wyvern Gem,1
73,Datura Hellspine I,great-sword,Create,Pukei-Pukei Shard,6,Pukei-Pukei Fellwing,4,Deadly Poison Sac,4,Fey Wyvern Gem,1
74,Datura Hellspine I,great-sword,Upgrade,Pukei-Pukei Shard,3,Pukei-Pukei Fellwing,2,Deadly Poison Sac,2,Monster Toughbone,2
75,Datura Hellspine II,great-sword,Upgrade,Monster Slogbone,3,Rathian Surspike,2,Large Pukei-Pukei Sac,1,Pukei-Pukei Lash,1
76,Nyx Razor I,great-sword,Upgrade,Nightshade Paolumu Thickfur,3,Paolumu Cortex,2,Nightshade Paolumu Fellwing,2,Torpor Sac,1
77,Nyx Razor II,great-sword,Upgrade,Black Diablos Chine,2,Nightshade Paolumu Shard,5,Nightshade Paolumu Fellwing,3,Large Wyvern Gem,1
78,Flame Blade I,great-sword,Upgrade,Rathalos Scale,1,Rathalos Webbing,2,Flame Sac,2,Rathalos Marrow,1
79,Flame Blade II,great-sword,Upgrade,Rathalos Scale,6,Rathalos Tail,2,Rathalos Plate,1,Inferno Sac,3
80,Red Wing,great-sword,Upgrade,Rathalos Scale+,6,Rathalos Carapace,4,Rathalos Wing,2,Rathalos Medulla,1
81,Blue Wing,great-sword,Upgrade,Azure Rathalos Scale+,6,Azure Rathalos Carapace,4,Azure Rathalos Wing,3,Wyvern Gem,1
82,Rathalos Glinsword,great-sword,Upgrade,Teostra Horn+,2,Azure Rathalos Scale+,8,Azure Rathalos Tail,3,Rathalos Ruby,1
83,Rathalos Glinsword+,great-sword,Upgrade,Rathalos Shard,6,Rathalos Cortex,4,Rathalos Fellwing,2,Rath Wingtalon+,4
84,Rathflame Glinsword,great-sword,Upgrade,Azure Rathalos Shard,6,Azure Rathalos Cortex,4,Azure Rathalos Fellwing,3,Rathalos Mantle,1
85,Rathalos Gleamsword,great-sword,Upgrade,Silver Rathalos Shard,8,Silver Rathalos Cortex,4,Silver Rathalos Lash,3,Rath Gleam,2
86,Bone Blade I,great-sword,Create,Monster Bone S,1,,,,,,
87,Bone Blade II,great-sword,Upgrade,Monster Bone S,2,,,,,,
88,Bone Blade III,great-sword,Upgrade,Monster Bone M,2,Ancient Bone,1,,,,
89,Bone Slasher I,great-sword,Upgrade,Monster Bone L,1,Monster Bone M,5,Boulder Bone,2,,
90,Bone Slasher II,great-sword,Upgrade,Monster Bone+,2,Monster Bone L,1,Sturdy Bone,4,,
91,Bone Slasher III,great-sword,Upgrade,Monster Keenbone,2,Monster Bone+,2,Quality Bone,2,,
92,Giant Jawblade I,great-sword,Create,Monster Hardbone,4,Monster Keenbone,10,Brutal Bone,4,Dragonbone Relic,1
93,Giant Jawblade I,great-sword,Upgrade,Monster Hardbone,4,Monster Keenbone,6,Quality Bone,10,,
94,Giant Jawblade II,great-sword,Upgrade,Elder Dragon Bone,4,Monster Hardbone,6,Quality Bone,20,Dragonbone Relic,1
95,Ogre's Jaw I,great-sword,Create,Thick Bone,6,Quality Bone,8,Monster Toughbone,4,Dragonbone Artifact,1
96,Ogre's Jaw I,great-sword,Upgrade,Thick Bone,2,Quality Bone,4,Monster Hardbone,4,Frozen Bone,1
97,Ogre's Jaw II,great-sword,Upgrade,Monster Solidbone,2,Monster Slogbone,3,Thick Bone,4,Monster Essence,2
98,Ogre's Jaw III,great-sword,Upgrade,Large Elder Dragon Bone,3,Monster Solidbone,4,Thick Bone,6,Dragonbone Artifact,1
99,Icewing,great-sword,Upgrade,Crystal Shard,4,Velkhana Hardclaw,2,Velkhana Lash,2,Purecrystal,1
100,Winged Seraphyd,great-sword,Upgrade,Shara Ishvalda Tenderclaw,3,Velkhana Crownhorn,4,Velkhana Hardclaw,4,Velkhana Crystal,1
101,Tiger Jawblade,great-sword,Upgrade,Tigrex Hardclaw,3,Tigrex Shard,4,Monster Slogbone,3,Thick Bone,5
102,Tiger Jawblade+,great-sword,Upgrade,Blackcurl Stouthorn,1,Tigrex Hardfang,3,Tigrex Lash,2,Tigrex Mantle,1
103,Tigrex Great Sword,great-sword,Upgrade,Daora Hardclaw,2,Tigrex Hardfang,2,Tigrex Cortex,4,Pure Dragon Blood,5
104,Accursed Blade,great-sword,Upgrade,Brute Tigrex Hardclaw,3,Brute Tigrex Shard,5,Brute Tigrex Hardfang,2,Large Wyvern Gem,1
105,Wildbite,great-sword,Upgrade,Tempered Ebonjaw,5,Brute Tigrex Hardclaw,4,Brute Tigrex Hardfang,3,Tigrex Mantle,1
106,Hazak Kys,great-sword,Upgrade,Vaal Hazak Talon,4,Vaal Hazak Fang+,5,Deceased Scale,6,Vaal Hazak Membrane,4
107,Leviathan's Fury,great-sword,Upgrade,Xeno'jiiva Veil,3,Vaal Hazak Talon,6,Vaal Hazak Tail,2,Vaal Hazak Gem,1
108,Monstrous Madness,great-sword,Upgrade,Vaal Hazak Hardclaw,3,Shadowpierce Fang,2,Deceased Shard,5,Deathweaver Membrane,3
109,Don Monstro,great-sword,Upgrade,Shara Ishvalda Tenderclaw,2,Vaal Hazak Hardclaw,5,Vaal Hazak Flail,2,Large Elder Dragon Gem,1
110,Flammenzahn,great-sword,Upgrade,Anjanath Fang,3,Anjanath Scale,3,Anjanath Pelt,2,Flame Sac,2
111,Flammenzahn+,great-sword,Upgrade,Anjanath Fang+,4,Anjanath Scale+,5,Inferno Sac,3,Anjanath Plate,1
112,Gnashing Flammenzahn,great-sword,Upgrade,Vaal Hazak Fang+,5,Anjanath Pelt+,4,Anjanath Nosebone+,2,Anjanath Gem,1
113,Gnashing Flammenzahn+,great-sword,Create,Anjanath Hardfang,2,Anjanath Lash,2,Anjanath Shard,6,Anjanath Mantle,1
114,Gnashing Flammenzahn+,great-sword,Upgrade,Anjanath Hardfang,1,Anjanath Shard,2,Conflagrant Sac,1,Eltalite Ore,3
115,Lohenzahn,great-sword,Upgrade,Azure Rathalos Cortex,2,Anjanath Fur,3,Heavy Anjanath Nosebone,2,Anjanath Lash,1
116,Donnerzahn,great-sword,Upgrade,Fulgur Anjanath Hardfang,1,Fulgur Anjanath Shard,2,Monster Solidbone,3,Meldspar Ore,2
117,Donnerzahn+,great-sword,Upgrade,Fulgur Anjanath Thickfur,3,Heavy Fulgur Anjanath Nosebone,2,Fulgur Anjanath Lash,1,Lightning Sac,3
118,Fulguration's Edge,great-sword,Upgrade,Kirin Silvermane,2,Fulgur Anjanath Hardfang,3,Fulgur Anjanath Thickfur,5,Fulgur Anjanath Mantle,1
119,Aqua Slasher I,great-sword,Upgrade,Boulder Bone,2,Jyuratodus Shell,1,Jyuratodus Scale,3,Aqua Sac,1
120,Aqua Slasher II,great-sword,Upgrade,Sturdy Bone,5,Jyuratodus Fin,3,Jyuratodus Fang,2,Gajau Skin,3
121,Aqua Slasher III,great-sword,Upgrade,Monster Bone+,2,Jyuratodus Fang,4,Coral Bone,2,Gajau Whisker,3
122,Water Golem I,great-sword,Create,Monster Keenbone,5,Jyuratodus Fin+,3,Torrent Sac,2,Wyvern Gem,1
123,Water Golem I,great-sword,Upgrade,Quality Bone,5,Jyuratodus Carapace,2,Jyuratodus Scale+,3,Gajau Scale,5
124,Water Golem II,great-sword,Upgrade,Monster Hardbone,3,Jyuratodus Fin+,4,Torrent Sac,3,Grand Gajau Whisker,3
125,Water Golem III,great-sword,Upgrade,Elder Dragon Bone,4,Jyuratodus Fin+,6,Jyuratodus Fang+,5,Wyvern Gem,1
126,Water Golem IV,great-sword,Upgrade,Jyuratodus Grandfin,1,Jyuratodus Hardfang,1,Jyuratodus Shard,3,Gajau Thickhide,2
127,Laguna Golem I,great-sword,Upgrade,Coral Pukei-Pukei Shard,3,Coral Pukei-Pukei Fellwing,2,Flood Sac,2,Bathycite Ore,2
128,Laguna Golem II,great-sword,Upgrade,Acidic Glavenus Hardfang,2,Monster Solidbone,3,Large Coral Pukei-Pukei Sac,1,Coral Pukei-Pukei Lash,1
129,Beo Slasher I,great-sword,Create,Beotodus Grandfin,2,Beotodus Hardhorn,2,Beotodus Shard,6,Frozen Bone,3
130,Beo Slasher I,great-sword,Upgrade,Beotodus Grandfin,1,Beotodus Hardhorn,1,Beotodus Shard,3,Frozen Bone,1
131,Beo Slasher II,great-sword,Upgrade,Rimed Hide,2,Beotodus Grandfin,2,Cryo Sac,2,Large Wyvern Gem,1
132,Carapace Buster I,great-sword,Upgrade,Barroth Claw,1,Barroth Shell,3,Barroth Ridge,2,,
133,Carapace Buster II,great-sword,Upgrade,Dragonite Ore,3,Barroth Claw,2,Barroth Tail,1,Kestodon Shell,3
134,Carapace Buster III,great-sword,Upgrade,Diablos Shell,3,Barroth Claw,4,Barroth Scalp,2,Monster Bone+,3
135,Barroth Shredder I,great-sword,Upgrade,Barroth Claw+,2,Barroth Carapace,3,Barroth Ridge+,2,Kestodon Carapace,5
136,Barroth Shredder II,great-sword,Upgrade,Diablos Carapace,3,Barroth Claw+,4,Barroth Carapace,3,Gastodon Carapace,5
137,Barroth Shredder III,great-sword,Upgrade,Nergigante Horn+,1,Barroth Claw+,5,Barroth Ridge+,5,Wyvern Gem,1
138,Barroth Greatedge I,great-sword,Create,Barroth Hardclaw,2,Barroth Crown,2,Barroth Chine,4,Large Wyvern Gem,1
139,Barroth Greatedge I,great-sword,Upgrade,Barroth Hardclaw,1,Barroth Cortex,2,Barroth Chine,2,Kestodon Husk,2
140,Barroth Greatedge II,great-sword,Upgrade,Diablos Cortex,2,Barroth Hardclaw,2,Barroth Crown,1,Monster Slogbone,3
141,Acid Shredder I,great-sword,Upgrade,Acidic Glavenus Hardfang,2,Acidic Glavenus Spineshell,2,Acidic Glavenus Tailedge,2,Honed Acidcryst,4
142,Acid Shredder II,great-sword,Upgrade,Vaal Hazak Hardclaw,2,Acidic Glavenus Hardfang,4,Acidic Glavenus Spineshell,3,Glavenus Mantle,1
143,Spiked Blade I,great-sword,Upgrade,Wyvern Bonemass,2,Radobaan Scale,4,Sleep Sac,2,,
144,Spiked Blade II,great-sword,Upgrade,Monster Bone+,3,Wyvern Bonemass,3,Radobaan Oilshell,2,Radobaan Marrow,1
145,Radobaan Slab I,great-sword,Create,Radobaan Shard,3,Torpor Sac,2,Radobaan Carapace,4,Dragonbone Relic,1
146,Radobaan Slab I,great-sword,Upgrade,Radobaan Carapace,4,Radobaan Oilshell,3,Coma Sac,2,Monster Keenbone,3
147,Radobaan Slab II,great-sword,Upgrade,Monster Hardbone,5,Radobaan Scale+,8,Coma Sac,3,Radobaan Medulla,1
148,Radobaan Slab III,great-sword,Upgrade,Elder Dragon Bone,5,Radobaan Carapace,6,Coma Sac,4,Wyvern Gem,1
149,Radobaan Grindblade I,great-sword,Upgrade,Radobaan Cortex,2,Radobaan Shard,2,Torpor Sac,1,Monster Toughbone,3
150,Radobaan Grindblade II,great-sword,Upgrade,Monster Solidbone,3,Large Wyvern Bonemass,3,Radobaan Oilshell+,2,Thick Bone,5
151,Dios Blade,great-sword,Upgrade,Brachydios Crown,2,Brachydios Cortex,4,Glowing Slime,3,Meldspar Ore,3
152,Brach Attack,great-sword,Upgrade,Distilled Blast Fluid,3,Brachydios Crown,3,Fine Brachydios Ebonshell,4,Brachydios Pallium,1
153,Dragonbone Cleaver I,great-sword,Create,Warped Bone,5,Coral Bone,5,Boulder Bone,5,Ancient Bone,5
154,Dragonbone Cleaver II,great-sword,Upgrade,Monster Bone+,6,Monster Bone L,8,Sturdy Bone,8,,
155,Dragonbone Cleaver III,great-sword,Upgrade,Elder Dragon Bone,10,Brutal Bone,4,Dragonbone Relic,2,Wyvern Gem,1
156,Dragonseal Sword I,great-sword,Upgrade,Monster Solidbone,3,Monster Slogbone,4,Thick Bone,6,Dragonbone Artifact,1
157,Dragonseal Sword II,great-sword,Upgrade,Large Elder Dragon Bone,6,Monster Solidbone,4,Lavasioth Grandfin,2,Large Wyvern Gem,1
158,Immovable Dharma,great-sword,Upgrade,Shara Ishvalda Tenderclaw,4,Shara Ishvalda Tenderscale,6,Shara Ishvalda Tenderplate,2,Shara Ishvalda Gem,1
159,Thundersword,great-sword,Upgrade,Kirin Thunderhorn,3,Kirin Hide,3,Kirin Tail,1,Lightcrystal,1
160,Kirin Thundersword,great-sword,Upgrade,Kirin Azure Horn,4,Kirin Hide+,5,Kirin Mane,4,Dragonvein Crystal,5
161,King Thundersword,great-sword,Upgrade,Xeno'jiiva Shell,4,Kirin Azure Horn,6,Kirin Thundertail,3,Novacrystal,2
162,Emperor Thundersword,great-sword,Upgrade,Kirin Azure Horn+,3,Kirin Finehide,4,Kirin Silvermane,3,Purecrystal,1
163,Magda Potestas I,great-sword,Upgrade,Zorah Magdaros Heat Scale,4,Zorah Magdaros Carapace,8,Zorah Magdaros Magma,4,Zorah Magdaros Gem,1
164,Magda Potestas II,great-sword,Upgrade,Xeno'jiiva Shell,4,Zorah Magdaros Ridge,2,Zorah Magdaros Pleura,2,Firecell Stone,3
165,Magdaros Volcanblade,great-sword,Upgrade,Elder Dragonvein Bone,3,Dragonvein Solidbone,5,Heavy Dragonvein Bone,6,Large Elder Dragon Gem,1
166,Blacksteel Chopper I,great-sword,Create,Dragonvein Crystal,10,Earth Crystal,10,Coral Crystal,10,Lightcrystal,1
167,Blacksteel Chopper II,great-sword,Upgrade,Firecell Stone,1,Fucium Ore,5,Carbalite Ore,10,Wyvern Gem,1
168,Icesteel Edge,great-sword,Upgrade,Daora Claw+,3,Daora Webbing,4,Nergigante Carapace,5,Daora Tail,2
169,Daora's Decimator,great-sword,Upgrade,Xeno'jiiva Wing,2,Daora Horn+,5,Daora Claw+,4,Daora Gem,1
170,Daora's Tughril Beg,great-sword,Upgrade,Daora Hardhorn,5,Daora Hardclaw,4,Daora Shard,5,Large Elder Dragon Gem,1
171,Xeno Maliq,great-sword,Upgrade,Xeno'jiiva Claw,4,Xeno'jiiva Shell,6,Xeno'jiiva Tail,2,Xeno'jiiva Gem,1
172,Wyvern Jawblade,great-sword,Create,Hunter King Coin,5,Rathalos Coin,4,Barroth Coin,4,Novacrystal,1
173,Great Wyvern Jawblade,great-sword,Upgrade,Ace Hunter Coin,5,Brute Coin,4,Flying Coin,4,Wyvern Gem,2
174,Ultra Wyvern Jawblade,great-sword,Upgrade,Hero King Coin,1,Glavenus Coin,2,Nargacuga Coin,2,Banbaro Coin,2
175,Berserker Sword,great-sword,Create,Deviljho Scale,6,Deviljho Talon,2,Deviljho Tallfang,3,Deviljho Saliva,2
176,Anguish,great-sword,Upgrade,Elder Dragon Blood,5,Deviljho Scalp,2,Deviljho Tallfang,5,Deviljho Gem,1
177,Consummate Blade,great-sword,Upgrade,Vile Fang,3,Deviljho Ripper,2,Black Blood,3,Deviljho Crook,1
178,Wyvern Ignition "Steel",great-sword,Create,Master Craftsman's Blueprint,2,Dragonite Ore,7,Paolumu Webbing,2,Rathalos Marrow,2
179,Wyvern Ignition "Impact",great-sword,Upgrade,Master Craftsman's Blueprint,3,Elder Dragon Blood,2,Firecell Stone,5,Wyvern Gem,1
180,Empress Galea,great-sword,Create,Lunastra Scale+,4,Lunastra Horn,3,Lunastra Mane,3,Lunastra Gem,1
181,Empress Galea "Blaze",great-sword,Upgrade,Research Commission Ticket,1,Lunastra Horn,2,Teostra Horn+,3,Bazelgeuse Gem,1
182,Soulfire Edge "Blaze",great-sword,Upgrade,Lunastra Shard,4,Lunastra Hardhorn,4,Lunastra Mane+,4,Large Elder Dragon Gem,1
183,Empress Galea "Ruin",great-sword,Upgrade,Research Commission Ticket,1,Lunastra Wing,3,Nergigante Horn+,3,Nergigante Gem,1
184,Soulfire Edge "Ruin",great-sword,Upgrade,Lunastra Shard,4,Annihilating Greathorn,3,Eternal Regrowth Plate,3,Large Elder Dragon Gem,1
185,Empress Galea "Styx",great-sword,Upgrade,Research Commission Ticket,1,Lunastra Tail,2,Xeno'jiiva Horn,3,Xeno'jiiva Gem,1
186,Soulfire Edge "Styx",great-sword,Upgrade,Lunastra Shard,4,Lunastra Lash,2,Elder Spiritvein Bone,5,Large Elder Dragon Gem,1
187,Frozen Speartuna,great-sword,Create,Freezer Ticket,1,Monster Toughbone,3,Cryo Sac,3,Gracium,2
188,Freezer Speartuna,great-sword,Upgrade,Freezer Ticket,2,Monster Slogbone,5,Cryo Sac,4,Purecrystal,1
189,Xiphias Gladius,great-sword,Upgrade,Freezer Ticket,2,Monster Solidbone,6,Cryo Sac,5,Conqueror's Seal,2
190,Demon Rod,great-sword,Create,Rajang Hardhorn,1,Rajang Hardclaw,1,Rajang Hardfang,2,Rajang Wildpelt,2
191,Great Demon Rod,great-sword,Upgrade,Tempered Glimmerpelt,3,Rajang Hardhorn,3,Rajang Hardfang,7,Gold Rajang Pelt+,3
192,Demonlord Goldrod,great-sword,Create,Ghoulish Gold Gorer,3,Rajang Apoplexy,2,Gold Rajang Pelt+,5,Rajang Heart,1
193,Infernal Executioner,great-sword,Create,Stygian Zinogre Hardhorn,1,Stygian Zinogre Hardclaw,1,Stygian Zinogre Dragonlocks,2,Stygian Zinogre Dragonhold,2
194,Infernal Executioner+,great-sword,Upgrade,Tempered Dragonhold,3,Stygian Zinogre Hardhorn,2,Stygian Zinogre Hardclaw,5,Stygian Zinogre Skymerald,1
195,Lightbreak Blade,great-sword,Create,Brach Obliterator,3,Brach Warhead,1,Indestructible Ebonshell,4,Immortal Reactor,1
196,Alatreon Great Sword,great-sword,Create,Alatreon Mantle,3,Skyswayer,1,Alatreon Riptalon,3,Large Elder Dragon Gem,1
197,Alatreon Revolution,great-sword,Upgrade,Alatreon Direwing,1,Skyswayer,2,Alatreon Riptalon,2,Azure Dragonsphire,1
198,Guild Palace Blade,great-sword,Create,Fest Ticket,2,Amber Hardfang,2,Gracium,5,Purecrystal,1
199,Royal Venus Blade,great-sword,Upgrade,Hero King Coin,1,Namielle Hardclaw,3,Large Elder Dragon Bone,5,Pure Dragon Blood,3
200,Defender Katana I,long-sword,Create,Iron Ore,1,,,,,,
201,Defender Katana II,long-sword,Upgrade,Anjanath Scale,1,,,,,,
202,Defender Katana III,long-sword,Upgrade,Commendation,1,,,,,,
