id,base_name_en,rank,condition_en,item_en,stack,percentage
63,Noios,LR,Body Carve,Screamer Sac,1,70
64,Noios,LR,Body Carve,Wingdrake Hide,1,30
65,Noios,LR,Hunt (Bronze),Screamer Sac,2,40
66,Noios,LR,Hunt (Bronze),Wingdrake Hide,1,20
67,Noios,LR,Hunt (Bronze),Monster Bone S,1,20
68,Noios,LR,Hunt (Bronze),Warm Pelt,1,20
69,Noios,HR,Body Carve,Screamer Sac,1,70
70,Noios,HR,Body Carve,Wingdrake Hide+,1,30
71,Noios,HR,Hunt (Bronze),Screamer Sac,2,40
72,Noios,HR,Hunt (Bronze),Wingdrake Hide,1,20
73,Noios,HR,Hunt (Bronze),Monster Bone S,1,20
74,Noios,HR,Hunt (Bronze),High-quality Pelt,1,20
75,Gajau,LR,Body Carve,Gajau Skin,1,75
76,Gajau,LR,Body Carve,Gajau Whisker,1,25
77,Gajau,LR,Hunt (Bronze),Gajau Skin,1,45
78,Gajau,LR,Hunt (Bronze),Iron Ore,1,25
79,Gajau,LR,Hunt (Bronze),Gajau Whisker,1,15
80,Gajau,LR,Hunt (Bronze),Machalite Ore,1,15
81,Gajau,HR,Body Carve,Gajau Scale,1,75
82,Gajau,HR,Body Carve,Grand Gajau Whisker,1,25
83,Gajau,HR,Hunt (Bronze),Gajau Scale,1,45
84,Gajau,HR,Hunt (Bronze),Machalite Ore,1,25
85,Gajau,HR,Hunt (Bronze),Grand Gajau Whisker,1,15
86,Gajau,HR,Hunt (Bronze),Dragonite Ore,1,15
87,Kelbi,LR,Body Carve,Warm Pelt,1,60
88,Kelbi,LR,Body Carve,White Liver,1,25
89,Kelbi,LR,Body Carve,Raw Meat,1,15
90,Kelbi,LR,Shiny Drop,Kelbi Horn,1,100
91,Kelbi,LR,Horn Carve,Kelbi Horn,1,100
92,Kelbi,HR,Body Carve,High-quality Pelt,1,60
93,Kelbi,HR,Body Carve,White Liver,1,25
94,Kelbi,HR,Body Carve,Raw Meat,1,15
95,Kelbi,HR,Shiny Drop,Kelbi Horn,1,100
96,Kelbi,HR,Horn Carve,Kelbi Horn,1,100
97,Raphinos,LR,Body Carve,Wingdrake Hide,1,70
98,Raphinos,LR,Body Carve,Raw Meat,1,30
99,Raphinos,LR,Hunt (Bronze),Wingdrake Hide,1,20
100,Raphinos,LR,Hunt (Bronze),Raw Meat,1,20
101,Raphinos,LR,Hunt (Bronze),Nulberry,3,15
102,Raphinos,LR,Hunt (Bronze),Monster Bone S,2,15
103,Raphinos,LR,Hunt (Bronze),Sturdy Bone,1,15
104,Raphinos,LR,Hunt (Bronze),Warped Bone,1,15
105,Raphinos,HR,Body Carve,Wingdrake Hide+,1,70
106,Raphinos,HR,Body Carve,Raw Meat,1,30
107,Raphinos,HR,Hunt (Bronze),Wingdrake Hide+,1,20
108,Raphinos,HR,Hunt (Bronze),Raw Meat,1,20
109,Raphinos,HR,Hunt (Bronze),Nulberry,3,15
110,Raphinos,HR,Hunt (Bronze),Sturdy Bone,2,15
111,Raphinos,HR,Hunt (Bronze),Monster Keenbone,1,15
112,Raphinos,HR,Hunt (Bronze),Warped Bone,1,15
113,Shamos,LR,Body Carve,Shamos Hide,1,50
114,Shamos,LR,Body Carve,Shamos Scale,1,30
115,Shamos,LR,Body Carve,Sharp Claw,1,20
116,Shamos,LR,Hunt (Bronze),Shamos Hide,1,30
117,Shamos,LR,Hunt (Bronze),Sharp Claw,1,24
118,Shamos,LR,Hunt (Bronze),Shamos Scale,1,22
119,Shamos,LR,Hunt (Bronze),Coral Crystal,1,12
120,Shamos,LR,Hunt (Bronze),Sturdy Bone,1,12
121,Shamos,HR,Body Carve,Shamos Hide+,1,50
122,Shamos,HR,Body Carve,Shamos Scale+,1,30
123,Shamos,HR,Body Carve,Piercing Claw,1,20
124,Shamos,HR,Hunt (Bronze),Shamos Hide+,1,30
125,Shamos,HR,Hunt (Bronze),Piercing Claw,1,24
126,Shamos,HR,Hunt (Bronze),Shamos Scale+,1,22
127,Shamos,HR,Hunt (Bronze),Monster Keenbone,1,12
128,Shamos,HR,Hunt (Bronze),Coral Crystal,2,12
129,Girros,LR,Body Carve,Girros Hide,1,50
130,Girros,LR,Body Carve,Girros Scale,1,30
131,Girros,LR,Body Carve,Girros Fang,1,20
132,Girros,LR,Hunt (Bronze),Girros Hide,1,30
133,Girros,LR,Hunt (Bronze),Girros Scale,1,20
134,Girros,LR,Hunt (Bronze),Girros Fang,1,20
135,Girros,LR,Hunt (Bronze),Sharp Claw,2,15
136,Girros,LR,Hunt (Bronze),Sturdy Bone,1,15
137,Girros,HR,Body Carve,Girros Hide+,1,50
138,Girros,HR,Body Carve,Girros Scale+,1,30
139,Girros,HR,Body Carve,Girros Fang,1,20
140,Girros,HR,Hunt (Bronze),Girros Hide+,1,30
141,Girros,HR,Hunt (Bronze),Girros Scale+,1,20
142,Girros,HR,Hunt (Bronze),Girros Fang,1,20
143,Girros,HR,Hunt (Bronze),Piercing Claw,2,15
144,Girros,HR,Hunt (Bronze),Quality Bone,1,15
145,Hornetaur,LR,Body Carve,Hornetaur Shell,1,40
146,Hornetaur,LR,Body Carve,Hornetaur Wing,1,32
147,Hornetaur,LR,Body Carve,Monster Fluid,1,20
148,Hornetaur,LR,Body Carve,Hornetaur Head,1,8
149,Hornetaur,LR,Hunt (Bronze),Hornetaur Shell,1,40
150,Hornetaur,LR,Hunt (Bronze),Hornetaur Wing,1,32
151,Hornetaur,LR,Hunt (Bronze),Monster Fluid,1,20
152,Hornetaur,LR,Hunt (Bronze),Hornetaur Head,1,8
153,Hornetaur,HR,Body Carve,Hornetaur Carapace,1,40
154,Hornetaur,HR,Body Carve,Hornetaur Innerwing,1,32
155,Hornetaur,HR,Body Carve,Monster Broth,1,20
156,Hornetaur,HR,Body Carve,Hornetaur Head,1,8
157,Hornetaur,HR,Hunt (Bronze),Hornetaur Carapace,1,40
158,Hornetaur,HR,Hunt (Bronze),Hornetaur Innerwing,1,32
159,Hornetaur,HR,Hunt (Bronze),Monster Broth,1,20
160,Hornetaur,HR,Hunt (Bronze),Hornetaur Head,1,8
161,Gastodon,HR,Body Carve,Gastodon Carapace,1,70
162,Gastodon,HR,Body Carve,Gastodon Horn,1,30
163,Barnos,LR,Body Carve,Wingdrake Hide,1,100
164,Barnos,LR,Hunt (Bronze),Wingdrake Hide,1,30
165,Barnos,LR,Hunt (Bronze),Raw Meat,1,20
166,Barnos,LR,Hunt (Bronze),Nulberry,3,20
167,Barnos,LR,Hunt (Bronze),Monster Bone S,2,15
168,Barnos,LR,Hunt (Bronze),Sturdy Bone,1,15
169,Barnos,HR,Body Carve,Barnos Hide+,1,70
170,Barnos,HR,Body Carve,Barnos Talon,1,30
171,Great Jagras,LR,Track,Great Jagras Scale,1,100
172,Great Jagras,LR,Carve / Capture,Great Jagras Scale,1,36
173,Great Jagras,LR,Carve / Capture,Great Jagras Hide,1,28
174,Great Jagras,LR,Carve / Capture,Great Jagras Claw,1,21
175,Great Jagras,LR,Carve / Capture,Great Jagras Mane,1,15
176,Great Jagras,LR,Wound Head,Great Jagras Mane,1,100
177,Great Jagras,LR,Wound Forelegs,Great Jagras Claw,1,100
178,Great Jagras,LR,Wound Belly,Great Jagras Hide,2,100
179,Great Jagras,LR,Shiny Drop,Great Jagras Scale,1,50
180,Great Jagras,LR,Shiny Drop,Great Jagras Claw,1,28
181,Great Jagras,LR,Shiny Drop,Wyvern Tear,1,22
182,Great Jagras,LR,Palico Bonus,Great Jagras Scale,1,50
183,Great Jagras,LR,Palico Bonus,Great Jagras Claw,1,28
184,Great Jagras,LR,Palico Bonus,Wyvern Tear,1,22
185,Great Jagras,LR,Plunderblade,Great Jagras Scale,1,43
186,Great Jagras,LR,Plunderblade,Great Jagras Hide,1,35
187,Great Jagras,LR,Plunderblade,Great Jagras Mane,1,22
188,Great Jagras,LR,Bandit Mantle,Chipped Scale,1,70
189,Great Jagras,LR,Bandit Mantle,Large Scale,1,30
190,Great Jagras,LR,Hunt (Bronze),Great Jagras Hide,1,32
191,Great Jagras,LR,Hunt (Bronze),Great Jagras Scale,1,23
192,Great Jagras,LR,Hunt (Bronze),Great Jagras Mane,1,16
193,Great Jagras,LR,Hunt (Bronze),Iron Ore,2,10
194,Great Jagras,LR,Hunt (Bronze),Monster Bone S,2,10
195,Great Jagras,LR,Hunt (Bronze),Great Jagras Claw,1,9
196,Great Jagras,LR,Investigation (Silver),Great Jagras Mane,1,30
197,Great Jagras,LR,Investigation (Silver),Great Jagras Hide,2,25
198,Great Jagras,LR,Investigation (Silver),Great Jagras Claw,1,25
199,Great Jagras,LR,Investigation (Silver),Great Jagras Scale,2,20
200,Great Jagras,LR,Investigation (Gold),Great Jagras Mane,1,40
201,Great Jagras,LR,Investigation (Gold),Great Jagras Claw,1,30
202,Great Jagras,LR,Investigation (Gold),Great Jagras Hide,3,16
203,Great Jagras,LR,Investigation (Gold),Great Jagras Scale,3,14
204,Great Jagras,HR,Track,Great Jagras Scale+,1,100
205,Great Jagras,HR,Carve / Capture,Great Jagras Scale+,1,36
206,Great Jagras,HR,Carve / Capture,Great Jagras Hide+,1,28
207,Great Jagras,HR,Carve / Capture,Great Jagras Claw+,1,21
208,Great Jagras,HR,Carve / Capture,Great Jagras Mane,1,15
209,Great Jagras,HR,Wound Head,Great Jagras Mane,2,63
210,Great Jagras,HR,Wound Head,Great Jagras Hide+,2,37
211,Great Jagras,HR,Wound Forelegs,Great Jagras Claw+,1,100
212,Great Jagras,HR,Wound Belly,Great Jagras Hide+,2,100
213,Great Jagras,HR,Shiny Drop,Great Jagras Scale+,1,50
214,Great Jagras,HR,Shiny Drop,Great Jagras Claw+,1,28
215,Great Jagras,HR,Shiny Drop,Wyvern Tear,1,22
216,Great Jagras,HR,Palico Bonus,Great Jagras Scale+,1,50
217,Great Jagras,HR,Palico Bonus,Great Jagras Claw+,1,28
218,Great Jagras,HR,Palico Bonus,Wyvern Tear,1,22
219,Great Jagras,HR,Plunderblade,Great Jagras Scale+,1,43
220,Great Jagras,HR,Plunderblade,Great Jagras Hide+,1,35
221,Great Jagras,HR,Plunderblade,Great Jagras Mane,1,22
222,Great Jagras,HR,Bandit Mantle,Large Scale,1,70
223,Great Jagras,HR,Bandit Mantle,Beautiful Scale,1,30
224,Great Jagras,HR,Hunt (Bronze),Great Jagras Hide+,1,32
225,Great Jagras,HR,Hunt (Bronze),Great Jagras Scale+,1,23
226,Great Jagras,HR,Hunt (Bronze),Monster Bone+,1,20
227,Great Jagras,HR,Hunt (Bronze),Great Jagras Mane,2,16
228,Great Jagras,HR,Hunt (Bronze),Great Jagras Claw+,1,9
229,Great Jagras,HR,Investigation (Silver),Great Jagras Claw+,1,40
230,Great Jagras,HR,Investigation (Silver),Great Jagras Hide+,2,25
231,Great Jagras,HR,Investigation (Silver),Great Jagras Scale+,2,20
232,Great Jagras,HR,Investigation (Silver),Great Jagras Mane,2,15
233,Great Jagras,HR,Investigation (Gold),Great Jagras Claw+,1,64
234,Great Jagras,HR,Investigation (Gold),Great Jagras Hide+,3,14
235,Great Jagras,HR,Investigation (Gold),Great Jagras Mane,3,12
236,Great Jagras,HR,Investigation (Gold),Great Jagras Scale+,3,10
237,Great Jagras,MR,Track,Great Jagras Shard,1,100
238,Great Jagras,MR,Carve / Capture,Great Jagras Shard,1,36
239,Great Jagras,MR,Carve / Capture,Great Jagras Thickhide,1,28
240,Great Jagras,MR,Carve / Capture,Great Jagras Hardclaw,1,21
241,Great Jagras,MR,Carve / Capture,Great Jagras Mane+,1,15
242,Great Jagras,MR,Wound Head,Great Jagras Mane+,1,100
243,Great Jagras,MR,Wound Forelegs,Great Jagras Hardclaw,1,100
244,Great Jagras,MR,Wound Belly,Great Jagras Thickhide,2,100
245,Great Jagras,MR,Shiny Drop,Great Jagras Shard,1,50
246,Great Jagras,MR,Shiny Drop,Great Jagras Hardclaw,1,28
247,Great Jagras,MR,Shiny Drop,Large Wyvern Tear,1,22
248,Great Jagras,MR,Palico Bonus,Great Jagras Shard,1,50
249,Great Jagras,MR,Palico Bonus,Great Jagras Hardclaw,1,28
250,Great Jagras,MR,Palico Bonus,Large Wyvern Tear,1,22
251,Great Jagras,MR,Plunderblade,Great Jagras Shard,1,43
252,Great Jagras,MR,Plunderblade,Great Jagras Thickhide,1,35
253,Great Jagras,MR,Plunderblade,Great Jagras Mane+,1,22
254,Great Jagras,MR,Bandit Mantle,Beautiful Scale,1,70
255,Great Jagras,MR,Bandit Mantle,Lustrous Scale,1,30
256,Great Jagras,MR,Hunt (Bronze),Great Jagras Thickhide,1,32
257,Great Jagras,MR,Hunt (Bronze),Great Jagras Shard,1,23
258,Great Jagras,MR,Hunt (Bronze),Monster Toughbone,1,20
259,Great Jagras,MR,Hunt (Bronze),Great Jagras Mane+,1,16
260,Great Jagras,MR,Hunt (Bronze),Great Jagras Hardclaw,1,9
261,Great Jagras,MR,Investigation (Silver),Great Jagras Mane+,1,30
262,Great Jagras,MR,Investigation (Silver),Great Jagras Thickhide,2,25
263,Great Jagras,MR,Investigation (Silver),Great Jagras Hardclaw,1,25
264,Great Jagras,MR,Investigation (Silver),Great Jagras Shard,2,20
265,Great Jagras,MR,Investigation (Gold),Great Jagras Mane+,1,40
266,Great Jagras,MR,Investigation (Gold),Great Jagras Hardclaw,1,30
267,Great Jagras,MR,Investigation (Gold),Great Jagras Thickhide,3,16
268,Great Jagras,MR,Investigation (Gold),Great Jagras Shard,3,14
269,Great Jagras,MR,Guiding Lands (Low),Fierce Dragonvein Bone,1,63
270,Great Jagras,MR,Guiding Lands (Low),Rugged Mane,1,37
271,Great Jagras,MR,Guiding Lands (Mid),Rugged Mane,1,63
272,Great Jagras,MR,Guiding Lands (Mid),Fierce Dragonvein Bone,1,37
273,Great Jagras,MR,Guiding Lands (High),Rugged Mane,1,100
274,Great Jagras,MR,Guiding Lands (Tempered),Rugged Mane,1,100
275,Kulu-Ya-Ku,LR,Track,Kulu-Ya-Ku Scale,1,100
276,Kulu-Ya-Ku,LR,Carve / Capture,Kulu-Ya-Ku Scale,1,36
277,Kulu-Ya-Ku,LR,Carve / Capture,Kulu-Ya-Ku Hide,1,28
278,Kulu-Ya-Ku,LR,Carve / Capture,Kulu-Ya-Ku Beak,1,21
279,Kulu-Ya-Ku,LR,Carve / Capture,Kulu-Ya-Ku Plume,1,15
280,Kulu-Ya-Ku,LR,Wound Head,Kulu-Ya-Ku Beak,1,100
281,Kulu-Ya-Ku,LR,Wound Forearms,Kulu-Ya-Ku Plume,1,100
282,Kulu-Ya-Ku,LR,Shiny Drop,Kulu-Ya-Ku Scale,1,50
283,Kulu-Ya-Ku,LR,Shiny Drop,Kulu-Ya-Ku Plume,1,28
284,Kulu-Ya-Ku,LR,Shiny Drop,Wyvern Tear,1,22
285,Kulu-Ya-Ku,LR,Palico Bonus,Kulu-Ya-Ku Scale,1,50
286,Kulu-Ya-Ku,LR,Palico Bonus,Kulu-Ya-Ku Plume,1,28
287,Kulu-Ya-Ku,LR,Palico Bonus,Wyvern Tear,1,22
288,Kulu-Ya-Ku,LR,Plunderblade,Kulu-Ya-Ku Scale,1,43
289,Kulu-Ya-Ku,LR,Plunderblade,Kulu-Ya-Ku Hide,1,35
290,Kulu-Ya-Ku,LR,Plunderblade,Kulu-Ya-Ku Plume,1,22
291,Kulu-Ya-Ku,LR,Bandit Mantle,Chipped Scale,1,70
292,Kulu-Ya-Ku,LR,Bandit Mantle,Large Scale,1,30
293,Kulu-Ya-Ku,LR,Hunt (Bronze),Kulu-Ya-Ku Hide,1,32
294,Kulu-Ya-Ku,LR,Hunt (Bronze),Kulu-Ya-Ku Scale,1,23
295,Kulu-Ya-Ku,LR,Hunt (Bronze),Monster Bone S,1,20
296,Kulu-Ya-Ku,LR,Hunt (Bronze),Kulu-Ya-Ku Plume,1,16
297,Kulu-Ya-Ku,LR,Hunt (Bronze),Kulu-Ya-Ku Beak,1,9
298,Kulu-Ya-Ku,LR,Investigation (Silver),Kulu-Ya-Ku Plume,1,30
299,Kulu-Ya-Ku,LR,Investigation (Silver),Kulu-Ya-Ku Hide,2,25
300,Kulu-Ya-Ku,LR,Investigation (Silver),Kulu-Ya-Ku Beak,1,25
301,Kulu-Ya-Ku,LR,Investigation (Silver),Kulu-Ya-Ku Scale,2,20
302,Kulu-Ya-Ku,LR,Investigation (Gold),Kulu-Ya-Ku Plume,1,40
303,Kulu-Ya-Ku,LR,Investigation (Gold),Kulu-Ya-Ku Beak,1,30
304,Kulu-Ya-Ku,LR,Investigation (Gold),Kulu-Ya-Ku Hide,3,16
305,Kulu-Ya-Ku,LR,Investigation (Gold),Kulu-Ya-Ku Scale,3,14
306,Kulu-Ya-Ku,HR,Track,Kulu-Ya-Ku Scale+,1,100
307,Kulu-Ya-Ku,HR,Carve / Capture,Kulu-Ya-Ku Scale+,1,34
308,Kulu-Ya-Ku,HR,Carve / Capture,Kulu-Ya-Ku Hide+,1,27
309,Kulu-Ya-Ku,HR,Carve / Capture,Kulu-Ya-Ku Beak+,1,20
310,Kulu-Ya-Ku,HR,Carve / Capture,Kulu-Ya-Ku Plume+,1,14
311,Kulu-Ya-Ku,HR,Carve / Capture,Bird Wyvern Gem,1,5
312,Kulu-Ya-Ku,HR,Wound Head,Kulu-Ya-Ku Beak+,1,100
313,Kulu-Ya-Ku,HR,Wound Forearms,Kulu-Ya-Ku Plume+,1,100
314,Kulu-Ya-Ku,HR,Shiny Drop,Kulu-Ya-Ku Scale+,1,50
315,Kulu-Ya-Ku,HR,Shiny Drop,Kulu-Ya-Ku Plume+,1,28
316,Kulu-Ya-Ku,HR,Shiny Drop,Wyvern Tear,1,22
317,Kulu-Ya-Ku,HR,Palico Bonus,Kulu-Ya-Ku Scale+,1,50
318,Kulu-Ya-Ku,HR,Palico Bonus,Kulu-Ya-Ku Plume+,1,28
319,Kulu-Ya-Ku,HR,Palico Bonus,Wyvern Tear,1,22
320,Kulu-Ya-Ku,HR,Plunderblade,Kulu-Ya-Ku Scale+,1,43
321,Kulu-Ya-Ku,HR,Plunderblade,Kulu-Ya-Ku Hide+,1,33
322,Kulu-Ya-Ku,HR,Plunderblade,Kulu-Ya-Ku Plume,1,22
323,Kulu-Ya-Ku,HR,Plunderblade,Bird Wyvern Gem,1,2
324,Kulu-Ya-Ku,HR,Bandit Mantle,Large Scale,1,70
325,Kulu-Ya-Ku,HR,Bandit Mantle,Beautiful Scale,1,30
326,Kulu-Ya-Ku,HR,Hunt (Bronze),Kulu-Ya-Ku Hide+,1,32
327,Kulu-Ya-Ku,HR,Hunt (Bronze),Kulu-Ya-Ku Scale+,1,21
328,Kulu-Ya-Ku,HR,Hunt (Bronze),Monster Bone+,1,18
329,Kulu-Ya-Ku,HR,Hunt (Bronze),Kulu-Ya-Ku Plume+,1,15
330,Kulu-Ya-Ku,HR,Hunt (Bronze),Kulu-Ya-Ku Beak+,1,11
331,Kulu-Ya-Ku,HR,Hunt (Bronze),Bird Wyvern Gem,1,3
332,Kulu-Ya-Ku,HR,Investigation (Silver),Kulu-Ya-Ku Plume+,1,28
333,Kulu-Ya-Ku,HR,Investigation (Silver),Kulu-Ya-Ku Beak+,1,23
334,Kulu-Ya-Ku,HR,Investigation (Silver),Kulu-Ya-Ku Hide+,2,20
335,Kulu-Ya-Ku,HR,Investigation (Silver),Kulu-Ya-Ku Scale+,2,18
336,Kulu-Ya-Ku,HR,Investigation (Silver),Bird Wyvern Gem,1,11
337,Kulu-Ya-Ku,HR,Investigation (Gold),Kulu-Ya-Ku Plume+,1,30
338,Kulu-Ya-Ku,HR,Investigation (Gold),Kulu-Ya-Ku Beak+,1,24
339,Kulu-Ya-Ku,HR,Investigation (Gold),Bird Wyvern Gem,1,17
340,Kulu-Ya-Ku,HR,Investigation (Gold),Kulu-Ya-Ku Hide+,3,16
341,Kulu-Ya-Ku,HR,Investigation (Gold),Kulu-Ya-Ku Scale+,3,13
342,Kulu-Ya-Ku,MR,Track,Kulu-Ya-Ku Shard,1,100
343,Kulu-Ya-Ku,MR,Carve / Capture,Kulu-Ya-Ku Shard,1,34
344,Kulu-Ya-Ku,MR,Carve / Capture,Kulu-Ya-Ku Thickhide,1,27
345,Kulu-Ya-Ku,MR,Carve / Capture,Large Kulu-Ya-Ku Beak,1,20
346,Kulu-Ya-Ku,MR,Carve / Capture,Large Kulu-Ya-Ku Plume,1,14
347,Kulu-Ya-Ku,MR,Carve / Capture,Fey Wyvern Gem,1,5
348,Kulu-Ya-Ku,MR,Wound Head,Large Kulu-Ya-Ku Beak,1,100
349,Kulu-Ya-Ku,MR,Wound Forearms,Large Kulu-Ya-Ku Plume,1,100
350,Kulu-Ya-Ku,MR,Shiny Drop,Kulu-Ya-Ku Shard,1,50
351,Kulu-Ya-Ku,MR,Shiny Drop,Large Kulu-Ya-Ku Plume,1,28
352,Kulu-Ya-Ku,MR,Shiny Drop,Large Wyvern Tear,1,22
353,Kulu-Ya-Ku,MR,Palico Bonus,Kulu-Ya-Ku Shard,1,50
354,Kulu-Ya-Ku,MR,Palico Bonus,Large Kulu-Ya-Ku Plume,1,28
355,Kulu-Ya-Ku,MR,Palico Bonus,Large Wyvern Tear,1,22
356,Kulu-Ya-Ku,MR,Plunderblade,Kulu-Ya-Ku Shard,1,43
357,Kulu-Ya-Ku,MR,Plunderblade,Kulu-Ya-Ku Thickhide,1,33
358,Kulu-Ya-Ku,MR,Plunderblade,Large Kulu-Ya-Ku Plume,1,22
359,Kulu-Ya-Ku,MR,Plunderblade,Fey Wyvern Gem,1,2
360,Kulu-Ya-Ku,MR,Bandit Mantle,Beautiful Scale,1,70
361,Kulu-Ya-Ku,MR,Bandit Mantle,Lustrous Scale,1,30
362,Kulu-Ya-Ku,MR,Hunt (Bronze),Kulu-Ya-Ku Thickhide,1,32
363,Kulu-Ya-Ku,MR,Hunt (Bronze),Kulu-Ya-Ku Shard,1,21
364,Kulu-Ya-Ku,MR,Hunt (Bronze),Monster Toughbone,1,18
365,Kulu-Ya-Ku,MR,Hunt (Bronze),Large Kulu-Ya-Ku Plume,1,15
366,Kulu-Ya-Ku,MR,Hunt (Bronze),Large Kulu-Ya-Ku Beak,1,11
367,Kulu-Ya-Ku,MR,Hunt (Bronze),Fey Wyvern Gem,1,3
368,Kulu-Ya-Ku,MR,Investigation (Silver),Large Kulu-Ya-Ku Plume,1,28
369,Kulu-Ya-Ku,MR,Investigation (Silver),Large Kulu-Ya-Ku Beak,1,23
370,Kulu-Ya-Ku,MR,Investigation (Silver),Kulu-Ya-Ku Thickhide,2,20
371,Kulu-Ya-Ku,MR,Investigation (Silver),Kulu-Ya-Ku Shard,2,18
372,Kulu-Ya-Ku,MR,Investigation (Silver),Fey Wyvern Gem,1,11
373,Kulu-Ya-Ku,MR,Investigation (Gold),Large Kulu-Ya-Ku Plume,1,30
374,Kulu-Ya-Ku,MR,Investigation (Gold),Large Kulu-Ya-Ku Beak,1,24
375,Kulu-Ya-Ku,MR,Investigation (Gold),Fey Wyvern Gem,1,17
376,Kulu-Ya-Ku,MR,Investigation (Gold),Kulu-Ya-Ku Thickhide,3,16
377,Kulu-Ya-Ku,MR,Investigation (Gold),Kulu-Ya-Ku Shard,3,13
378,Kulu-Ya-Ku,MR,Guiding Lands (Low),Fierce Dragonvein Bone,1,63
379,Kulu-Ya-Ku,MR,Guiding Lands (Low),Colorful Plume,1,37
380,Kulu-Ya-Ku,MR,Guiding Lands (Mid),Colorful Plume,1,63
381,Kulu-Ya-Ku,MR,Guiding Lands (Mid),Fierce Dragonvein Bone,1,37
382,Kulu-Ya-Ku,MR,Guiding Lands (High),Colorful Plume,1,100
383,Kulu-Ya-Ku,MR,Guiding Lands (Tempered),Colorful Plume,1,100
384,Pukei-Pukei,LR,Track,Pukei-Pukei Scale,1,100
385,Pukei-Pukei,LR,Carve / Capture,Pukei-Pukei Scale,1,31
